"","0050","0056","006205","00646"
"741",75.77,24.29,26.47,24.35
"742",75.31,24.05,26.21,23.93
"743",75.75,24.13,26.09,23.83
"744",75.19,24.12,25.66,23.42
"745",74.84,24.07,25.35,23.08
"746",74.75,24.15,25.08,22.93
"747",74.67,24.16,25.25,22.72
"748",73.57,23.9,24.9,22.51
"749",73.87,23.83,25.16,22.13
"750",74.81,23.96,25.3,22.95
"751",75.21,23.92,25.24,23.16
